word,count,mean_attribution,std_attribution,median_attribution,total_attribution
walls,5,-5.9366217,2.9906037,-8.21342,-29.68311
environment,6,-6.0062203,3.032083,-7.4714785,-36.037323
internal,8,-6.131546,1.8336889,-5.6015058,-49.05237
case,7,-6.260377,8.183521,-8.23221,-43.82264
growth,9,-6.309014,1.7241108,-6.6317773,-56.781124
built,6,-6.319477,1.1593534,-6.2630587,-37.916862
child,31,-6.384534,2.3294992,-6.503021,-197.92055
worth,12,-6.386705,3.6780896,-5.5839987,-76.64046
level,7,-6.4164376,2.1342993,-6.098479,-44.915062
system,17,-6.639961,1.8935213,-6.6854677,-112.87933
toys,5,-6.9277864,2.593209,-6.0149717,-34.63893
degree,11,-6.973438,1.1767277,-6.596732,-76.70782
act,6,-7.240198,1.3996006,-7.5444083,-43.44119
constructed,8,-7.379365,4.408325,-6.7224336,-59.03492
while,37,-7.5409794,8.05716,-8.878971,-279.01624
external,9,-7.8314447,2.8156197,-8.313693,-70.483
hardly,5,-8.350069,1.0589672,-8.382846,-41.750343
pressure,8,-8.521803,1.7093918,-9.125374,-68.17442
born,10,-8.950265,1.0855712,-9.110439,-89.50265
served,8,-9.825154,1.4612696,-10.590912,-78.601234
until,5,-9.967992,18.767363,-14.330765,-49.83996
dismal,5,-10.934351,10.347268,-16.107985,-54.671753
matches,6,-12.872382,1.6261703,-12.262775,-77.23429
