word,count,mean_attribution,std_attribution,median_attribution,total_attribution
happiness,16,-4.2417912,8.813838,-7.8210883,-67.86866
position,6,-4.256473,13.491876,-0.49724346,-25.538837
terms,6,-4.257664,3.003739,-4.6843557,-25.545986
charitable,5,-4.289192,5.649046,-8.841608,-21.445961
by,275,-4.293926,16.533915,5.2778125,-1180.8296
miserable,5,-4.3047547,2.4933367,-3.4180596,-21.523773
foundation,9,-4.3153844,9.410905,-11.710838,-38.83846
anything,10,-4.334961,9.690698,-0.51199824,-43.34961
degree,15,-4.338063,2.9797866,-5.2329817,-65.07094
houses,7,-4.338268,9.681748,-12.511274,-30.367874
system,19,-4.4271226,0.9326706,-4.6787143,-84.11533
advantage,9,-4.432666,3.3412519,-5.9590816,-39.893993
master,5,-4.4445963,10.764295,3.512867,-22.222982
in,838,-4.464697,20.806942,5.144987,-3741.416
engagement,11,-4.473672,7.3610106,-0.84049445,-49.210392
impossible,5,-4.494952,3.5139544,-4.6857204,-22.47476
patterns,6,-4.5065823,0.19834235,-4.4612226,-27.039494
sacrifice,11,-4.517876,2.3618517,-5.367848,-49.696636
more,146,-4.5458155,10.287384,-1.3000389,-663.6891
important,8,-4.5521584,1.756761,-3.5654707,-36.417267
lines,5,-4.5785427,4.984115,-1.2312918,-22.892714
get,17,-4.5971622,14.861967,1.7391043,-78.15176
avoid,8,-4.61071,1.7349458,-5.33954,-36.88568
hands,21,-4.619504,11.206219,2.5593038,-97.00958
country,13,-4.6325803,2.1069987,-5.607037,-60.22354
independent,5,-4.6575694,0.51790076,-4.8745446,-23.287848
despite,5,-4.6630554,0.2670955,-4.559202,-23.315277
thinking,10,-4.6812353,5.3674073,-4.8712635,-46.81235
the,2623,-4.690196,11.224323,1.5577226,-12302.385
net,6,-4.693438,15.067563,-7.6985435,-28.16063
taste,7,-4.707474,10.325713,-1.4516202,-32.95232
life,49,-4.7374687,4.7407084,-8.238671,-232.13597
green,5,-4.7446127,13.953894,5.993148,-23.723064
admiration,11,-4.7501903,6.5102463,-8.185112,-52.25209
meet,8,-4.788666,7.23905,0.40540683,-38.309326
increased,5,-4.79616,2.4757903,-4.6001954,-23.9808
attended,5,-4.8164377,17.155037,5.563898,-24.08219
years,10,-4.817239,12.878901,1.0555205,-48.17239
problem,7,-4.851199,1.0460317,-4.5066113,-33.958393
access,26,-4.875537,0.25258505,-4.8540535,-126.76396
cares,6,-4.879999,2.783393,-4.374247,-29.279995
mental,7,-4.8854895,4.5128374,-6.6373816,-34.198425
few,45,-4.9101615,11.340577,1.101671,-220.95728
child,22,-4.9267926,14.647984,3.6224132,-108.38944
bad,7,-4.9720035,12.285143,0.94033176,-34.804024
study,5,-4.974931,3.1991174,-2.4762578,-24.874653
business,7,-5.008306,3.28296,-5.2487993,-35.058144
ways,5,-5.0595922,3.3893566,-6.7585692,-25.29796
though,61,-5.093231,8.472803,0.6059804,-310.6871
without,54,-5.1062503,10.155577,-0.4478246,-275.73752
from,240,-5.1067557,24.598568,8.343872,-1225.6213
with,438,-5.112107,18.052097,3.650549,-2239.1028
networks,7,-5.1161904,0.11297339,-5.1876407,-35.81333
opportunities,16,-5.117017,0.6521191,-5.0625033,-81.87227
frequently,24,-5.1438856,3.30831,-6.3991623,-123.453255
continued,5,-5.1506634,6.030931,-2.8363016,-25.753317
higher,8,-5.170285,3.104745,-7.253382,-41.36228
connection,10,-5.1803827,3.3754365,-7.1732674,-51.803825
provide,7,-5.2054377,1.4330255,-5.837606,-36.438065
grave,5,-5.2155113,2.224101,-4.2214227,-26.077557
efforts,5,-5.238655,1.6595547,-6.0606675,-26.193275
yet,62,-5.2725396,3.4612422,-7.7283053,-326.89746
root,5,-5.273027,4.211,-7.755173,-26.365135
simply,22,-5.2827306,1.9521729,-5.650907,-116.22008
carefully,10,-5.2947106,1.3114208,-6.2621746,-52.947105
status,6,-5.33087,0.8335331,-5.702599,-31.985222
interest,23,-5.3518996,5.592195,-5.011384,-123.0937
firmly,5,-5.3530526,8.000527,-4.424503,-26.765263
change,12,-5.3722854,4.340581,-6.5804386,-64.46742
possible,28,-5.403067,6.0329533,-1.7420168,-151.28587
past,10,-5.43088,11.981784,-2.101398,-54.3088
established,5,-5.4309053,11.666228,-13.82359,-27.154526
constructed,6,-5.507048,0.75404555,-5.547575,-33.04229
our,56,-5.540752,4.1337676,-7.0316668,-310.2821
already,14,-5.564302,3.8599267,-3.6156368,-77.90023
city,14,-5.567837,1.4749128,-6.1206903,-77.94972
