word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
truly,ai_neutral,4,0.00025327934,0.00066691614,0.00028440595,0.0010131174
dim,ai_neutral,4,0.0016228488,0.00035205187,0.0014789468,0.006491395
ini,ai_neutral,4,0.0015002759,0.0004143787,0.0015679961,0.0060011037
shing,ai_neutral,3,0.00064558507,0.00024628063,0.00068745215,0.0019367551
simply,ai_neutral,19,0.00062801864,0.00084629684,0.0003305919,0.011932354
evolving,ai_neutral,4,0.0009774385,0.0007488692,0.0010437577,0.003909754
beyond,ai_neutral,15,0.0014095296,0.00092796155,0.0012946813,0.021142945
expectations,ai_neutral,16,-0.0009719874,0.00047842442,-0.00091834046,-0.015551798
contemporary,ai_neutral,7,0.0009033763,0.0015940907,0.00063873106,0.006323634
marriage,ai_neutral,15,0.00097077613,0.0024998141,0.0003683904,0.014561642
prospects,ai_neutral,9,0.0012463327,0.00080910727,0.0012992764,0.011216994
shaped,ai_neutral,3,-0.0001417715,0.0003515242,-0.0003051228,-0.00042531447
career,ai_neutral,3,0.0011326348,0.0007673275,0.0012127061,0.0033979043
instability,ai_neutral,3,0.0008935483,0.00026214612,0.00080771337,0.0026806449
shifting,ai_neutral,5,0.0006354565,0.00024941174,0.00071132235,0.0031772826
societal,ai_neutral,13,-0.0012659096,0.0012715332,-0.0008267448,-0.016456826
norms,ai_neutral,7,-0.0009915923,0.00095939316,-0.0011938588,-0.006941146
prior,ai_neutral,14,0.00031209685,0.00052800414,0.0003245351,0.0043693557
iti,ai_neutral,15,0.00024266027,0.0008995318,1.9158848e-05,0.003639904
ze,ai_neutral,7,0.0010915124,0.0006283391,0.0013108804,0.0076405867
fulfillment,ai_neutral,4,-0.0003039325,0.0005613947,-0.00035075762,-0.00121573
discovery,ai_neutral,6,0.0018604123,0.0010489639,0.0018502497,0.011162474
leading,ai_neutral,5,0.0013175335,0.0010054428,0.0017823583,0.006587668
while,ai_neutral,22,0.0005390195,0.0008214065,0.0007707533,0.011858428
growth,ai_neutral,8,0.0005575255,0.00060936896,0.0006992252,0.004460204
rise,ai_neutral,4,-0.0007103951,0.00039207298,-0.0007644328,-0.0028415804
co,ai_neutral,4,0.0014119011,0.0003098923,0.0013762692,0.0056476044
long,ai_neutral,11,0.00015525939,0.0007945226,3.527192e-05,0.0017078533
term,ai_neutral,12,0.00062427804,0.0007988579,0.00040159893,0.007491336
partnerships,ai_neutral,5,0.001301535,0.0010875809,0.0011514681,0.006507675
without,ai_neutral,6,-0.00085154135,0.00066753983,-0.0011548416,-0.005109248
legal,ai_neutral,4,-0.001500585,0.0008452089,-0.001626967,-0.00600234
pl,ai_neutral,5,0.0008230122,0.00016696918,0.0009497737,0.004115061
landscape,ai_neutral,5,0.0019390484,0.0009078705,0.0021914952,0.009695242
romantic,ai_neutral,4,0.0005833133,0.00012326828,0.00058661244,0.0023332532
love,ai_neutral,3,0.0025792317,0.0009959622,0.0019259374,0.0077376952
remains,ai_neutral,5,0.0007351182,0.00093818584,0.0010130232,0.0036755912
ag,ai_neutral,3,0.0013336736,0.00030410106,0.0011390132,0.004001021
shared,ai_neutral,9,-0.00015285253,0.00063823507,-0.0004234406,-0.0013756728
values,ai_neutral,12,-0.0008269706,0.00050142565,-0.0008497783,-0.009923647
mutual,ai_neutral,6,-0.00030178673,0.0004395985,-0.0002520656,-0.0018107203
goals,ai_neutral,3,0.00076248776,0.00077417877,0.0012221462,0.0022874633
essential,ai_neutral,6,0.0014205454,0.0012177475,0.0010126382,0.008523272
components,ai_neutral,3,0.0013244204,0.00052189355,0.0013439867,0.0039732615
lasting,ai_neutral,4,-0.00013690411,0.00034628692,-0.00026991905,-0.00054761645
approach,ai_neutral,9,0.00079422974,0.00085829996,0.00078611786,0.0071480675
though,ai_neutral,4,-0.00017533271,0.00086978276,9.3816125e-05,-0.00070133083
desire,ai_neutral,6,0.0009065711,0.00059660146,0.0006357427,0.0054394267
world,ai_neutral,18,0.00041859702,0.0013650575,0.0006659385,0.007534746
paradox,ai_neutral,6,0.00074060005,0.0006937124,0.0010778168,0.0044436003
they,ai_neutral,23,-2.3664395e-05,0.0009400963,-0.00019854847,-0.0005442811
foster,ai_neutral,20,0.0014440202,0.00074371597,0.0012100224,0.028880404
sense,ai_neutral,13,0.0007530925,0.000384954,0.00076705974,0.009790203
ina,ai_neutral,5,0.00024877948,0.00032050422,0.00037671003,0.0012438974
de,ai_neutral,7,0.0012592431,0.0012047524,0.0007612815,0.008814702
cy,ai_neutral,5,0.0019651675,0.000998985,0.0022630943,0.009825837
through,ai_neutral,19,0.00088116725,0.00087832985,0.0010190336,0.016742177
perfect,ai_neutral,3,0.0005487274,0.0007517225,0.00012516305,0.0016461823
ex,ai_neutral,8,0.0014496126,0.00070552394,0.0013954851,0.0115969
ace,ai_neutral,4,0.0015771082,0.00045520003,0.001377667,0.0063084327
rba,ai_neutral,4,0.0008499895,0.00021802656,0.0008527917,0.003399958
te,ai_neutral,7,0.00062402204,0.0012218091,0.0007472553,0.0043681543
feelings,ai_neutral,7,-0.00017188962,0.00048534936,-0.00017391122,-0.0012032273
