word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
myself,human,11,-3.5008045e-05,0.0010357028,6.851839e-05,-0.0003850885
those,human,8,0.00045792916,0.00093784556,0.00037316332,0.0036634333
for,human,66,0.0012402851,0.0012621393,0.0012006615,0.08185882
everybody,human,8,-0.00036178192,0.0018721821,-0.0003399496,-0.0028942553
elizabeth,human,17,0.0050048027,0.001976789,0.0045691514,0.085081644
spirits,human,3,-0.0003384008,0.0011422654,-0.00027046766,-0.0010152024
occasion,human,4,0.0016553397,0.0020594078,0.000913026,0.006621359
though,human,18,0.0005838645,0.0009357239,0.00032017688,0.010509562
she,human,90,0.00012152139,0.0011370601,0.00016308519,0.010936925
did,human,9,0.00026326752,0.0013080745,0.00044666688,0.0023694076
speak,human,5,0.0003337401,0.0007052437,0.00030755316,0.0016687006
un,human,6,0.0012439571,0.00056888734,0.0010995655,0.0074637425
ly,human,25,0.0005238219,0.0011330359,0.0004762886,0.013095547
mr,human,39,-0.00014173867,0.0024861891,-0.0002471699,-0.005527808
collins,human,8,0.0019929167,0.001785821,0.0016442665,0.015943334
him,human,61,0.00021490511,0.0012311006,0.00040067456,0.013109212
whether,human,6,0.0013090768,0.0008876325,0.0014854298,0.007854461
bing,human,6,0.001577489,0.0010617198,0.002043439,0.009464934
ley,human,9,0.001928899,0.00094068504,0.0019329649,0.017360091
invitation,human,3,0.00012700103,0.00056107703,6.4920176e-05,0.00038100308
would,human,27,0.0005090015,0.001018915,0.00068935216,0.01374304
think,human,11,0.00038117953,0.0005436259,0.00047435332,0.004192975
evening,human,11,0.0018712506,0.0012728672,0.0015902036,0.020583756
rather,human,7,0.00017849826,0.0009817871,7.749791e-05,0.0012494879
find,human,5,0.001279346,0.0011536002,0.001722209,0.0063967295
whatever,human,4,0.0010050503,0.00028762443,0.0010198986,0.004020201
head,human,8,0.00070181873,0.00096718327,0.0006683917,0.00561455
very,human,22,0.00048134386,0.00088637293,0.0005383546,0.010589565
far,human,6,0.00016712055,0.0006335593,0.00013242038,0.0010027234
dread,human,3,0.002209991,0.00034882876,0.0020871651,0.0066299727
re,human,9,0.0018634461,0.0013319206,0.0021229489,0.016771015
lady,human,11,0.0042044153,0.0016846391,0.0039827824,0.046248566
catherine,human,5,0.0022935872,0.001266558,0.001806413,0.0114679355
de,human,5,0.0015669841,0.0016930643,0.0010215095,0.007834921
bo,human,4,-8.378175e-05,0.00087512174,-0.00023560587,-0.000335127
vent,human,3,0.0007608868,0.0016908253,0.0006862093,0.0022826605
good,human,10,0.000494324,0.001053744,0.0005950228,0.0049432404
night,human,11,0.0015626992,0.001034065,0.0015255024,0.01718969
home,human,8,0.002612595,0.0012206674,0.0023794342,0.02090076
matter,human,6,0.0003410678,0.0004951785,0.00042837663,0.0020464067
thoughts,human,5,0.0006161136,0.0007119213,0.00012592721,0.003080568
relief,human,3,0.001244312,0.00066251395,0.00092579675,0.003732936
old,human,5,0.00062708213,0.0009795345,0.00067881244,0.0031354106
miss,human,19,0.002772614,0.0014915379,0.002592314,0.052679665
ha,human,13,0.0016185811,0.0016762547,0.0010696203,0.021041555
vish,human,10,-0.0014150027,0.0015305146,-0.0015365069,-0.014150027
