class,direction,rank,word,mean_attribution,std_attribution,count
ai_mimicked,toward,4,parish,0.004428281914442778,0.003665645606815815,4
ai_mimicked,toward,5,order,0.004228490870445967,0.002410749439150095,6
ai_mimicked,toward,6,london,0.003937181551009417,0.002902587177231908,9
ai_mimicked,toward,7,river,0.003806689288467169,0.0029702733736485243,10
ai_mimicked,toward,8,houses,0.003795298282057047,0.0034906617365777493,5
ai_mimicked,toward,9,universally,0.00357101671397686,0.0010393988341093063,6
ai_mimicked,toward,10,walls,0.0035017114132642746,0.0013306651962921023,3
ai_mimicked,toward,11,feathers,0.0031277963425964117,0.000977496150881052,4
ai_mimicked,toward,12,lady,0.0030157514847815037,0.0021911461371928453,11
ai_mimicked,toward,13,match,0.00288399588316679,0.0014744794461876154,4
ai_mimicked,toward,14,new,0.002802560105919838,0.0019218779634684324,3
ai_mimicked,toward,15,whilst,0.002746785059571266,0.0016115381149575114,12
ai_mimicked,toward,16,city,0.0027349472511559725,0.0012976180296391249,10
ai_mimicked,toward,17,parent,0.00268909172154963,0.0005824249237775803,6
ai_mimicked,toward,18,you,0.002676650881767273,0.0021708474960178137,13
ai_mimicked,toward,19,station,0.00266682798974216,0.0020375512540340424,3
ai_mimicked,toward,20,displays,0.002634633332490921,0.0010052610887214541,4
ai_mimicked,toward,21,hem,0.0026259575970470905,0.0010359537554904819,5
ai_mimicked,toward,22,house,0.002525121672078967,0.002166036982089281,3
ai_mimicked,toward,23,grim,0.0025174207985401154,0.0010338295251131058,14
ai_mimicked,toward,24,cr,0.0024696539621800184,0.0006687882705591619,9
ai_mimicked,toward,25,winter,0.0024694812018424273,0.0009094133274629712,3
ai_mimicked,toward,26,ti,0.0024220519699156284,0.0021234990563243628,5
ai_mimicked,toward,27,consider,0.0024062918964773417,0.0018787287408486009,11
ai_mimicked,toward,28,efforts,0.002378176199272275,0.001944898278452456,3
ai_mimicked,toward,29,flict,0.002349090063944459,0.000851173244882375,6
ai_mimicked,toward,30,gil,0.0023371949791908264,0.0007844157516956329,7
ai_mimicked,away,1,nation,-0.0030359490774571896,0.001294718706049025,4
ai_mimicked,away,2,mind,-0.0021534592378884554,0.0025132785085588694,6
ai_mimicked,away,3,system,-0.0019123746315017343,0.0014722198247909546,3
ai_mimicked,away,4,its,-0.0017841826193034649,0.0031577430199831724,29
ai_mimicked,away,5,became,-0.0017589620547369123,0.0018143209163099527,3
ai_mimicked,away,6,performance,-0.0017301139887422323,0.0012991041876375675,4
ai_mimicked,away,7,voice,-0.0016831927932798862,0.0003130788099952042,3
ai_mimicked,away,8,seems,-0.0015812565106898546,0.003556647337973118,5
ai_mimicked,away,9,better,-0.0014546973397955298,0.0016811109380796552,5
ai_mimicked,away,10,lad,-0.001346435397863388,0.00092760642291978,3
ai_mimicked,away,11,could,-0.0013045626692473888,0.0009300562087446451,15
ai_mimicked,away,12,who,-0.0012991911498829722,0.0009628020343370736,28
ai_mimicked,away,13,merit,-0.0011468377197161317,0.00031530309934169054,5
ai_mimicked,away,14,each,-0.0010703838197514415,0.001128938514739275,7
ai_mimicked,away,15,serves,-0.0010429543908685446,0.0013604990672320127,3
ai_mimicked,away,16,pri,-0.0010244775330647826,0.0016372412210330367,3
ai_mimicked,away,17,if,-0.0010174693306908011,0.0010081984801217914,17
ai_mimicked,away,18,gilded,-0.0010089563438668847,0.0017381832003593445,5
ai_mimicked,away,19,respectable,-0.0009908195352181792,0.0013789688237011433,3
ai_mimicked,away,20,it,-0.0009085314814001322,0.0013074717717245221,94
ai_mimicked,away,21,individual,-0.0008954480290412903,0.0015014433301985264,3
ai_mimicked,away,22,influence,-0.0008794976747594774,0.0005520373233594,6
ai_mimicked,away,23,monuments,-0.0008675304125063121,0.00036451229243539274,3
ai_mimicked,away,24,mankind,-0.0008542941068299115,0.0011539625702425838,3
ai_mimicked,away,25,instance,-0.0008363683009520173,0.0009954897686839104,7
ai_mimicked,away,26,circles,-0.0008159448625519872,0.0014083649730309844,4
ai_mimicked,away,27,status,-0.0008073417120613158,0.00044245185563340783,4
ai_mimicked,away,28,ed,-0.000785014417488128,0.0010660935658961535,29
ai_mimicked,away,29,was,-0.0007818231242708862,0.0009509216179139912,36
ai_mimicked,away,30,position,-0.0007657573441974819,0.00022674004139844328,3
