word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
soul,ai_mimicked,10,-0.00046629095,0.0011711838,-0.0002718108,-0.0046629095
march,ai_mimicked,3,-0.00051712064,0.00036688906,-0.00032249687,-0.001551362
forgetting,ai_mimicked,4,9.310461e-06,0.00063242513,-0.00026215718,3.7241844e-05
ties,ai_mimicked,6,0.0004059805,0.00048586333,0.0002640937,0.002435883
after,ai_mimicked,5,-0.00013600757,0.00052004535,-0.00039350102,-0.00068003783
erosion,ai_mimicked,4,-0.000390524,0.00035501382,-0.00022754417,-0.001562096
common,ai_mimicked,4,-6.130045e-05,0.0005582032,3.5637713e-06,-0.0002452018
alley,ai_mimicked,5,0.0008460681,0.0010559219,0.00073482114,0.0042303405
echoing,ai_mimicked,3,0.00020265667,0.0003214549,0.00041012513,0.00060797
worth,ai_mimicked,6,0.0003210235,0.0009459563,0.0003862825,0.0019261409
es,ai_mimicked,6,0.0003084905,0.00040533053,0.00017970198,0.0018509431
wn,ai_mimicked,3,0.00039588023,0.00086784497,-5.4814882e-05,0.0011876407
refuse,ai_mimicked,3,0.00028131666,0.00022862219,0.00014227649,0.00084394997
old,ai_mimicked,12,0.0006662596,0.0013295457,0.00068222,0.007995116
sten,ai_mimicked,3,0.00037312647,0.0003342824,0.00040164945,0.0011193794
absence,ai_mimicked,3,0.0001540903,0.00028663452,0.0003498072,0.00046227092
amount,ai_mimicked,3,-3.814018e-06,0.00047036132,-2.9140036e-05,-1.14420545e-05
future,ai_mimicked,5,0.0009225456,0.0004412611,0.0009243048,0.004612728
men,ai_mimicked,3,0.00015156913,0.0010647471,0.00053633,0.00045470736
offers,ai_mimicked,6,-0.0005756355,0.0005906611,-0.0005973722,-0.003453813
ace,ai_mimicked,4,0.00040407362,0.0010394561,0.0006928063,0.0016162945
left,ai_mimicked,3,0.0008055537,0.00074046274,0.0012752612,0.002416661
desire,ai_mimicked,4,6.182475e-05,0.00019410999,9.958312e-06,0.000247299
served,ai_mimicked,6,-0.00043999197,0.0011281528,-0.00052949344,-0.0026399519
once,ai_mimicked,5,0.00019499617,0.0006394895,0.00034985325,0.0009749809
became,ai_mimicked,3,-0.001758962,0.0018143209,-0.0007307558,-0.0052768863
ient,ai_mimicked,3,0.0012534276,0.0005699381,0.00095470063,0.0037602829
past,ai_mimicked,3,-0.00033976475,0.0003750592,-0.0003946787,-0.0010192943
flat,ai_mimicked,4,0.0018979856,0.0012938809,0.0014138906,0.0075919423
surrounded,ai_mimicked,4,0.00015538889,0.00020341101,0.000254436,0.00062155555
emptiness,ai_mimicked,4,0.00068576273,0.0010747946,0.00078821846,0.002743051
ton,ai_mimicked,3,0.00023261028,0.00053604244,0.0005351197,0.00069783087
deception,ai_mimicked,3,0.0017350841,0.0005633683,0.002004538,0.005205252
lady,ai_mimicked,11,0.0030157515,0.0021911461,0.0031024977,0.033173267
ter,ai_mimicked,5,0.0010877084,0.000802464,0.0013088234,0.005438542
manipulation,ai_mimicked,3,0.0009552261,0.0005887825,0.00086289924,0.0028656782
spirit,ai_mimicked,4,0.0021517705,0.0006263542,0.0019183543,0.008607082
neer,ai_mimicked,3,0.00088406104,0.00047287886,0.00079119485,0.0026521832
disco,ai_mimicked,3,3.1329244e-05,0.00037976165,0.00022066315,9.3987735e-05
authority,ai_mimicked,4,-6.233604e-06,0.0011009324,0.00036813185,-2.4934416e-05
ber,ai_mimicked,3,0.0019092053,0.0009353796,0.0020556669,0.005727616
called,ai_mimicked,3,0.0006432051,0.00026068647,0.0006828719,0.0019296152
river,ai_mimicked,10,0.0038066893,0.0029702734,0.0024454906,0.038066894
watch,ai_mimicked,5,0.0011711419,0.0018101234,0.00099927,0.0058557093
thames,ai_mimicked,3,0.009370324,0.0023624566,0.008837484,0.028110974
mis,ai_mimicked,7,0.00081262074,0.0007661921,0.00091321574,0.005688345
une,ai_mimicked,4,0.0015060119,0.00043337236,0.0016567995,0.0060240477
seen,ai_mimicked,4,0.0014006096,0.0012559678,0.0011442015,0.0056024385
fall,ai_mimicked,3,-6.7172055e-05,0.00031665488,0.0001422049,-0.00020151617
reflected,ai_mimicked,3,0.00032609844,0.0001609015,0.00027456065,0.0009782953
mu,ai_mimicked,3,0.0016723238,0.00049106724,0.001407701,0.0050169714
rky,ai_mimicked,3,0.0007196628,0.00014506782,0.00080355536,0.0021589885
waters,ai_mimicked,3,-0.0004958955,0.0006766637,-0.00013965495,-0.0014876865
en,ai_mimicked,3,0.00051348173,0.00049341546,0.00047130094,0.0015404453
cr,ai_mimicked,9,0.002469654,0.00066878827,0.0025297573,0.022226885
belief,ai_mimicked,3,0.0003709804,0.00040687894,0.00030389946,0.0011129412
voice,ai_mimicked,3,-0.0016831928,0.0003130788,-0.0018131031,-0.0050495784
hand,ai_mimicked,3,0.0009226476,0.00080785475,0.0010193308,0.0027679428
limited,ai_mimicked,3,-0.00034469055,0.00025822147,-0.0004327204,-0.0010340717
accomplishments,ai_mimicked,5,-0.00044508325,0.00063168036,-0.000591228,-0.0022254162
securing,ai_mimicked,8,0.00054364384,0.00063741417,0.00026884617,0.0043491507
sol,ai_mimicked,3,0.0002926561,0.0013997442,0.00018564262,0.00087796827
intellectual,ai_mimicked,6,0.00020221809,0.0010116642,0.0003362667,0.0012133085
existence,ai_mimicked,8,0.00013067058,0.000881057,-8.325959e-05,0.0010453647
reduced,ai_mimicked,4,-0.00017967763,9.9921584e-05,-0.00016242433,-0.00071871054
cycle,ai_mimicked,3,-2.6194728e-05,0.0008830733,-0.00017668377,-7.8584184e-05
pri,ai_mimicked,3,-0.0010244775,0.0016372412,-9.656855e-06,-0.0030734327
vation,ai_mimicked,3,-0.00018428823,0.00012993853,-0.00018499134,-0.0005528647
faces,ai_mimicked,4,0.00087274925,0.00032399833,0.00077820895,0.003490997
against,ai_mimicked,5,0.0015579518,0.00064261793,0.0011998692,0.007789759
physical,ai_mimicked,6,0.0009000514,0.00032381306,0.0007927195,0.0054003084
slow,ai_mimicked,3,0.0005178822,0.00030108282,0.000545703,0.0015536465
offered,ai_mimicked,4,0.00016234483,0.0008670574,0.00025988353,0.00064937933
polite,ai_mimicked,6,0.0008873167,0.00064787024,0.00091376563,0.0053239004
shaw,ai_mimicked,4,0.00030574287,0.0010183654,0.0005625317,0.0012229715
lame,ai_mimicked,6,0.00072103884,0.00082913507,0.0007510046,0.004326233
nta,ai_mimicked,4,0.00025005607,0.0004163262,0.0003500004,0.0010002243
qui,ai_mimicked,4,0.0021109022,0.0012057511,0.002229814,0.008443609
ce,ai_mimicked,6,0.0010943132,0.0007352854,0.0009607517,0.006565879
ci,ai_mimicked,3,0.0016450858,0.0005544497,0.001745491,0.004935257
happiness,ai_mimicked,5,0.00089198316,0.0005690341,0.0009795655,0.0044599157
devoid,ai_mimicked,3,7.597895e-05,0.00031396654,0.00010610519,0.00022793685
warmth,ai_mimicked,3,0.0011151732,0.0006388723,0.0010525008,0.0033455198
ways,ai_mimicked,3,-8.3562154e-05,0.00055420765,-0.00030846478,-0.00025068645
nce,ai_mimicked,3,0.001811787,0.00026618244,0.0017012525,0.005435361
built,ai_mimicked,5,0.0009346077,0.0019579942,-0.00013103646,0.0046730386
broken,ai_mimicked,5,0.0010282865,0.00027208254,0.0010917875,0.005141433
doorway,ai_mimicked,3,0.0013483012,0.00073638436,0.0010823396,0.0040449034
cruel,ai_mimicked,5,0.001852527,0.0007110988,0.0014818857,0.009262635
any,ai_mimicked,11,-0.00043323103,0.0010102794,-0.00014914737,-0.0047655413
now,ai_mimicked,4,-0.0002090188,0.000493882,-0.00039729898,-0.0008360752
opportunity,ai_mimicked,3,-0.0006647574,0.0023165117,0.00093176146,-0.0019942722
chance,ai_mimicked,3,0.0007639685,0.00023193528,0.00060515647,0.0022919055
may,ai_mimicked,5,2.0571495e-05,0.0010977087,0.0006202613,0.00010285748
parent,ai_mimicked,6,0.0026890917,0.0005824249,0.002599775,0.01613455
parental,ai_mimicked,3,0.0016022652,0.002090376,0.001367531,0.0048067956
duty,ai_mimicked,6,-0.00018643629,0.00066082703,-1.20385885e-05,-0.0011186177
sh,ai_mimicked,4,0.00018689508,0.0012130719,-9.229578e-05,0.0007475803
dim,ai_mimicked,3,0.00047017145,0.00049119635,0.00021908322,0.0014105143
solely,ai_mimicked,6,-0.00021963654,0.0006884491,-0.00012730557,-0.0013178192
concern,ai_mimicked,3,0.0001447904,0.0003032616,0.00028092923,0.00043437124
character,ai_mimicked,7,-0.00060410704,0.0009580553,-0.00033256906,-0.0042287493
handsome,ai_mimicked,3,0.001125055,0.00073303527,0.0011018009,0.0033751652
instead,ai_mimicked,3,0.00062365463,0.00066835264,0.0006482105,0.0018709638
external,ai_mimicked,3,-0.00010776435,0.0010061025,-0.00023526975,-0.00032329303
possessing,ai_mimicked,3,-0.00020995068,0.0004321227,3.2926037e-05,-0.00062985206
betray,ai_mimicked,3,-8.502424e-05,0.0012869062,0.00010264624,-0.00025507272
xie,ai_mimicked,4,0.0008893019,0.00085437985,0.00094988954,0.0035572075
esteem,ai_mimicked,4,0.00018537932,0.00047677575,0.00017108252,0.0007415173
marital,ai_mimicked,3,-0.00017554284,0.0008646643,-0.0005347529,-0.0005266285
prior,ai_mimicked,4,0.000216471,0.0004372161,0.00039132382,0.000865884
iti,ai_mimicked,4,9.3861265e-05,0.0007756483,0.00037173912,0.00037544506
trust,ai_mimicked,4,0.0017972991,0.00053301983,0.0018733405,0.0071891965
labyrinth,ai_mimicked,4,0.00088926614,0.00022723731,0.0009992732,0.0035570646
parents,ai_mimicked,3,0.0012485101,0.00036803854,0.0014679848,0.0037455303
invisible,ai_mimicked,3,-0.000510192,0.00045995566,-0.00029962428,-0.001530576
cries,ai_mimicked,3,-0.0001960817,0.00025849516,-0.00012039338,-0.0005882451
creature,ai_mimicked,4,0.00012224162,0.00077321444,0.00021813781,0.00048896647
shadows,ai_mimicked,3,0.001964356,0.0006481046,0.0015673845,0.0058930684
remarked,ai_mimicked,3,0.0009953975,0.0004311847,0.0012762761,0.0029861922
them,ai_mimicked,6,-6.980429e-05,0.0008010613,0.00027119892,-0.00041882577
estate,ai_mimicked,5,0.00055141107,0.0015813026,0.00056771573,0.0027570555
back,ai_mimicked,3,0.00016421107,0.00019206743,0.0002748306,0.0004926332
suit,ai_mimicked,3,-7.915078e-06,0.0011398003,0.0003626272,-2.3745233e-05
deficiency,ai_mimicked,3,0.00059781177,0.0004244746,0.0003866169,0.0017934353
boundaries,ai_mimicked,3,-0.00039324127,0.00043542008,-0.00051672116,-0.0011797238
ming,ai_mimicked,3,0.0013764271,0.00077577395,0.001909032,0.0041292813
cast,ai_mimicked,4,7.0431764e-05,0.00053482235,5.285626e-05,0.00028172706
chi,ai_mimicked,3,0.00046167092,0.0004965591,0.00048162966,0.0013850128
cap,ai_mimicked,3,0.0013217892,0.00033816305,0.001541099,0.0039653676
opinions,ai_mimicked,5,0.00013233924,0.0007086753,-0.00018191853,0.0006616962
destined,ai_mimicked,3,0.00080706616,0.0007539867,0.00061182614,0.0024211984
labour,ai_mimicked,4,0.0010107434,0.0011131014,0.0014217966,0.0040429737
contribute,ai_mimicked,4,-0.00025277893,0.0003849815,-0.00025743488,-0.0010111157
visit,ai_mimicked,3,0.0005443684,0.00019177068,0.0004770719,0.0016331052
scrutiny,ai_mimicked,3,0.0009101304,2.9953952e-05,0.00090457627,0.0027303912
ind,ai_mimicked,3,0.0015723966,0.0010204043,0.0022312629,0.00471719
serves,ai_mimicked,3,-0.0010429544,0.0013604991,-0.00029401138,-0.0031288632
possesses,ai_mimicked,3,0.00094259484,0.00047827436,0.00084072334,0.0028277845
seemingly,ai_mimicked,5,0.0019100733,0.0008966771,0.0019937505,0.009550367
spectral,ai_mimicked,3,0.00015983498,0.00053746486,0.0004945694,0.00047950493
